num_expediente;fecha;hora;localizacion;numero;cod_distrito;distrito;tipo_accidente;estado_meteorológico;tipo_vehiculo;tipo_persona;rango_edad;sexo;cod_lesividad;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2025S007036;21/01/2025;23:31:00;PARKING PLAZA DE CANALEJAS;7;1;CENTRO;Caída;Nublado;Bicicleta;Conductor;De 21 a 24 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;440581;4474266;N;
2025S007237;22/01/2025;16:20:00;PASEO. PONTONES, 31;31;2;ARGANZUELA;Atropello a persona;Lluvia débil;Bicicleta EPAC (pedaleo asistido);Conductor;De 25 a 29 años;Mujer;2;Ingreso inferior o igual a 24 horas;439129;4472870;N;
2025S007237;22/01/2025;16:20:00;PASEO. PONTONES, 31;31;2;ARGANZUELA;Atropello a persona;Lluvia débil;Bicicleta EPAC (pedaleo asistido);Peatón;De 30 a 34 años;Hombre;14;Sin asistencia sanitaria;439129;4472870;N;
2025S007282;22/01/2025;17:05:00;GTA. PATINES / PASEO. PUERTA DEL ANGEL;0;9;MONCLOA-ARAVACA;Caída;LLuvia intensa;Bicicleta;Conductor;De 40 a 44 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;437688;4474345;N;
2025S007345;22/01/2025;22:20:00;CALL. ALFONSO XII / CALL. FELIPE IV;26;3;RETIRO;Colisión fronto-lateral;Lluvia débil;Bicicleta EPAC (pedaleo asistido);Conductor;De 35 a 39 años;Mujer;1;Atención en urgencias sin posterior ingreso;441544;4474105;N;
2025S007481;22/01/2025;15:10:00;CMNO. VALDERRIBAS, 79;79;13;PUENTE DE VALLECAS;Caída;Lluvia débil;Bicicleta;Conductor;De 25 a 29 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;443819;4472306;N;
2025S007515;22/01/2025;21:30:00;GTA. PUENTE DE SEGOVIA / PASEO. EXTREMADURA;1;10;LATINA;Caída;LLuvia intensa;Bicicleta;Conductor;De 25 a 29 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;438593;4473953;N;
2025S007399;23/01/2025;9:45:00;CALL. SERRANO / CALL. VILLANUEVA;14;4;SALAMANCA;Caída;Lluvia débil;Bicicleta;Conductor;De 30 a 34 años;Mujer;6;Asistencia sanitaria inmediata en centro de salud o mutua;441616;4474881;N;
2025S007774;23/01/2025;22:50:00;GTA. SAN ANTONIO DE LA FLORIDA, 1;1;9;MONCLOA-ARAVACA;Colisión lateral;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 30 a 34 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;438401;4475223;N;
2025S007860;24/01/2025;12:20:00;CALL. LOPEZ DE ARANDA, 2;2;15;CIUDAD LINEAL;Caída;Lluvia débil;Bicicleta;Conductor;De 35 a 39 años;Mujer;1;Atención en urgencias sin posterior ingreso;445701;4476988;N;
2025S008064;24/01/2025;18:30:00;CALL. MONASTERIO DE OSEIRA, 25;25;8;FUENCARRAL-EL PARDO;Otro;Nublado;Bicicleta;Conductor;De 45 a 49 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;441105;4484887;N;
2025S008977;26/01/2025;0:30:00;CALL. ALCALA, 85;85;4;SALAMANCA;Caída;Despejado;Bicicleta;Conductor;De 30 a 34 años;Hombre;6;Asistencia sanitaria inmediata en centro de salud o mutua;441837;4474685;N;
2025S009248;26/01/2025;14:20:00;CALL. VIRGEN DE LLUC / CALL. BUEN GOBERNADOR;12;15;CIUDAD LINEAL;Colisión fronto-lateral;Lluvia débil;Bicicleta;Conductor;De 25 a 29 años;Hombre;5;Asistencia sanitaria ambulatoria con posterioridad;444462;4476187;N;
2025S009283;27/01/2025;8:58:00;CALL. ALICANTE, 5;5;2;ARGANZUELA;Caída;Lluvia débil;Bicicleta;Conductor;De 30 a 34 años;Mujer;6;Asistencia sanitaria inmediata en centro de salud o mutua;441180;4471738;N;
2025S009334;27/01/2025;11:15:00;PASEO. MORET / CALL. FERRAZ;3;9;MONCLOA-ARAVACA;Caída;Lluvia débil;Bicicleta EPAC (pedaleo asistido);Conductor;De 55 a 59 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;438796;4476174;N;
2025S009344;27/01/2025;14:40:00;CALL. ARIEL, 7;7;2;ARGANZUELA;Caída;Nublado;Bicicleta;Conductor;De 10 a 14 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;442339;4471602;N;
2025S009597;27/01/2025;20:50:00;CALL. JAIME EL CONQUISTADOR / CALL. EUGENIO SELLES;23;2;ARGANZUELA;Colisión fronto-lateral;Nublado;Bicicleta EPAC (pedaleo asistido);Conductor;De 35 a 39 años;Hombre;14;Sin asistencia sanitaria;440744;4471922;N;
2025S009387;28/01/2025;0:25:00;CENTRO COMERCIAL PARQUE DE LAS NACIONES;2;16;HORTALEZA;Caída;Nublado;Bicicleta;Conductor;De 21 a 24 años;Hombre;3;Ingreso superior a 24 horas;447757;4478661;N;
2025S010364;29/01/2025;16:30:00;CALL. LOPEZ DE ARANDA / CALL. ARTURO SORIA;2;15;CIUDAD LINEAL;Caída;Lluvia débil;Bicicleta EPAC (pedaleo asistido);Conductor;De 25 a 29 años;Hombre;2;Ingreso inferior o igual a 24 horas;445691;4476984;N;
2025S010509;30/01/2025;0:15:00;CALLE SÁNCHEZ BUSTILLO 7;1;1;CENTRO;Caída;Nublado;Bicicleta EPAC (pedaleo asistido);Conductor;De 25 a 29 años;Hombre;2;Ingreso inferior o igual a 24 horas;441179;4473355;N;
2025S010782;30/01/2025;15:10:00;PTA. ANGEL CAIDO, 0;0;3;RETIRO;Choque contra obstáculo fijo;Despejado;Bicicleta;Conductor;De 25 a 29 años;Hombre;2;Ingreso inferior o igual a 24 horas;441589;4473467;N;
2025S011215;31/01/2025;9:00:00;CALL. GENERAL RICARDOS, 161;161;11;CARABANCHEL;Atropello a persona;Despejado;Bicicleta;Conductor;Desconocido;Desconocido;;;437768;4471022;N;
2025S011215;31/01/2025;9:00:00;CALL. GENERAL RICARDOS, 161;161;11;CARABANCHEL;Atropello a persona;Despejado;Bicicleta;Peatón;De 70 a 74 años;Mujer;2;Ingreso inferior o igual a 24 horas;437768;4471022;N;
2025S011251;31/01/2025;13:20:00;CALL. ALBERTO AGUILERA, 46;46;7;CHAMBERÍ;Alcance;Despejado;Bicicleta;Conductor;De 30 a 34 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;439583;4475761;N;
2025S011406;31/01/2025;18:15:00;CALL. JACOMETREZO, 1;1;1;CENTRO;Colisión lateral;Se desconoce;Bicicleta;Conductor;De 25 a 29 años;Hombre;;;440083;4474641;N;
2025S011444;31/01/2025;17:50:00;GTA. SIERRA PARAMERA, 0;0;9;MONCLOA-ARAVACA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 50 a 54 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;433395;4478205;N;
2025S011739;01/02/2025;17:50:00;CALL. ALCALA / CALL. AYALA;183;4;SALAMANCA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 25 a 29 años;Hombre;2;Ingreso inferior o igual a 24 horas;443078;4475372;N;
2025S011767;01/02/2025;15:45:00;CALL. CARAMUEL / CALL. SEPULVEDA;1;10;LATINA;Caída;Despejado;Bicicleta;Conductor;De 45 a 49 años;Hombre;1;Atención en urgencias sin posterior ingreso;438035;4473132;N;
2025S011996;02/02/2025;14:00:00;AVDA. RAFAELA YBARRA / CALL. SIMCA;129;12;USERA;Colisión lateral;Nublado;Bicicleta;Conductor;De 40 a 44 años;Hombre;;;439531;4468678;N;
2025S012202;02/02/2025;13:35:00;CALL. ATOCHA, 27;27;1;CENTRO;Alcance;Despejado;Bicicleta;Conductor;De 30 a 34 años;Hombre;;;440388;4473935;N;
2025S012227;03/02/2025;10:35:00;CTRA. CIUDAD UNIVERSITARIA, 0;0;9;MONCLOA-ARAVACA;Atropello a animal;Despejado;Bicicleta;Conductor;De 70 a 74 años;Hombre;5;Asistencia sanitaria ambulatoria con posterioridad;435234;4477536;N;
2025S012244;03/02/2025;12:30:00;AVDA. MENENDEZ PELAYO, 47;47;3;RETIRO;Caída;Despejado;Bicicleta;Conductor;Más de 74 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;442455;4474224;N;
2025S012336;03/02/2025;14:50:00;CALL. HERMANOS GARCIA NOBLEJAS, 53;53;20;SAN BLAS-CANILLEJAS;Atropello a persona;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 18 a 20 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;446417;4475617;N;
2025S012336;03/02/2025;14:50:00;CALL. HERMANOS GARCIA NOBLEJAS, 53;53;20;SAN BLAS-CANILLEJAS;Atropello a persona;Despejado;Bicicleta EPAC (pedaleo asistido);Peatón;De 6 a 9 años;Mujer;5;Asistencia sanitaria ambulatoria con posterioridad;446417;4475617;N;
2025S012549;03/02/2025;16:20:00;CALL. PEGUERINOS, 16;16;9;MONCLOA-ARAVACA;Choque contra obstáculo fijo;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 25 a 29 años;Hombre;14;Sin asistencia sanitaria;437658;4480209;N;
2025S012927;04/02/2025;15:25:00;PASEO. CASTELLANA, 67;67;7;CHAMBERÍ;Alcance;Despejado;Bicicleta;Conductor;De 21 a 24 años;Hombre;2;Ingreso inferior o igual a 24 horas;441361;4477414;N;
2025S013002;04/02/2025;18:15:00;CALL. SIERRA DE GUADALUPE, 23;23;18;VILLA DE VALLECAS;Colisión lateral;Despejado;Bicicleta;Conductor;De 25 a 29 años;Hombre;;;447001;4470341;N;
2025S013965;06/02/2025;9:30:00;AVDA. MANZANARES, 36;36;10;LATINA;Atropello a animal;Despejado;Bicicleta;Conductor;De 45 a 49 años;Mujer;2;Ingreso inferior o igual a 24 horas;438652;4473097;N;
